,lits_rea,lits_rea_occ,lits_rea_disp,lits_o2,lits_o2_occ,lits_o2_disp
2020-09-20,96.0,55.0,41.0,404.0,109.0,295.0
2020-09-21,98.0,54.0,44.0,426.0,134.0,292.0
2020-09-22,92.0,56.0,36.0,415.0,148.0,267.0
2020-09-23,89.0,61.0,28.0,394.0,139.0,255.0
2020-09-24,85.0,58.0,27.0,417.0,148.0,269.0
2020-09-25,,,,,,
2020-09-26,,,,,,
2020-09-27,101.0,64.0,37.0,413.0,186.0,227.0
2020-09-28,,,,,,
2020-09-29,,,,,,
2020-09-30,111.0,80.0,27.0,415.0,196.0,219.0
2020-10-01,111.0,91.0,20.0,441.0,234.0,207.0
2020-10-02,116.0,87.0,29.0,476.0,260.0,215.0
2020-10-03,126.0,97.0,29.0,481.0,269.0,212.0
2020-10-04,129.0,100.0,29.0,489.0,279.0,213.0
2020-10-05,127.0,102.0,25.0,474.0,257.0,217.0
2020-10-06,126.0,103.0,23.0,526.0,273.0,253.0
2020-10-07,129.0,106.0,23.0,561.0,291.0,270.0
2020-10-08,136.0,233.0,22.0,614.0,309.0,351.0
2020-10-09,138.0,225.0,25.0,708.0,350.0,415.0
2020-10-10,155.0,253.0,32.0,738.0,378.0,419.0
2020-10-11,0.0,134.0,0.0,0.0,0.0,61.0
2020-10-12,,,,,,
2020-10-13,322.0,259.0,63.0,1556.0,882.0,674.0
2020-10-14,334.0,271.0,63.0,1694.0,996.0,698.0
2020-10-15,337.0,273.0,64.0,1792.0,1048.0,744.0
2020-10-16,344.0,274.0,70.0,1849.0,1107.0,742.0
2020-10-17,349.0,287.0,62.0,1930.0,1163.0,765.0
2020-10-18,354.0,296.0,58.0,1939.0,1191.0,748.0
2020-10-19,360.0,295.0,65.0,1975.0,1227.0,748.0
2020-10-20,359.0,291.0,68.0,2001.0,1248.0,753.0
2020-10-21,348.0,288.0,60.0,2045.0,1302.0,743.0
2020-10-22,175.0,148.0,27.0,1045.0,674.0,371.0
2020-10-23,177.0,320.0,24.0,1047.0,681.0,457.0
2020-10-24,365.0,297.0,68.0,2125.0,1389.0,736.0
2020-10-25,198.0,165.0,33.0,1062.0,701.0,361.0
2020-10-26,398.0,331.0,67.0,2182.0,1423.0,759.0
2020-10-27,198.0,170.0,29.0,1121.0,699.0,422.0
2020-10-28,202.0,170.0,32.0,1207.0,741.0,466.0
2020-10-29,406.0,338.0,68.0,2430.0,1541.0,889.0
2020-10-30,411.0,343.0,68.0,2475.0,1594.0,881.0
2020-10-31,219.0,179.0,28.0,1257.0,823.0,434.0
2020-11-01,217.0,364.0,34.0,1289.0,845.0,538.0
2020-11-02,223.0,373.0,32.0,1305.0,848.0,558.0
2020-11-03,235.0,417.0,36.0,1415.0,834.0,694.0
2020-11-04,237.0,420.0,34.0,1427.0,842.0,698.0
2020-11-05,236.0,194.0,30.0,1459.0,919.0,540.0
2020-11-06,238.0,274.0,30.0,1485.0,1085.0,569.0
2020-11-07,243.0,276.0,33.0,1484.0,1092.0,561.0
2020-11-08,244.0,279.0,31.0,1483.0,1094.0,558.0
2020-11-09,248.0,286.0,28.0,1645.0,1137.0,677.0
2020-11-10,405.0,348.0,57.0,2436.0,1395.0,1041.0
2020-11-11,251.0,219.0,32.0,1704.0,969.0,735.0
2020-11-12,252.0,278.0,31.0,1718.0,1114.0,747.0
2020-11-13,263.0,287.0,34.0,1711.0,1153.0,700.0
2020-11-14,265.0,226.0,39.0,1819.0,933.0,886.0
2020-11-15,,,,,,
2020-11-16,269.0,274.0,52.0,1800.0,1095.0,855.0
2020-11-17,,,,,,
2020-11-18,,,,,,
